"company","serial_number","name","asset_tag","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1399174-0016","AO800082-CRT","HSS-9800030","ERGOTRON","SV43-2570-0","AO800082","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0009","AO800036-CRT","HSS-9800031","ERGOTRON","SV43-2570-0","AO800036","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399176-0028","AO800093-CRT","HSS-9800032","ERGOTRON","SV43-2570-0","AO800093","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399174-0032","AO800030-CRT","HSS-9800033","ERGOTRON","SV43-2570-0","AO800030","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1359497-0076","AO800027-CRT","HSS-9800034","ERGOTRON","C50-3500-0","","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1297848-0024","AO400573-CRT","HSS-9800035","ERGOTRON","C50-3510-0","AO400573","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0021","AO800137-CRT","HSS-9800036","ERGOTRON","SV43-2570-0","AO800137","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0032","AO800127-CRT","HSS-9800037","ERGOTRON","SV43-2570-0","AO800127","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0028","AO800121-CRT","HSS-9800038","ERGOTRON","SV43-2570-0","AO800121","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1328164-0038","AO005468-CRT","HSS-9800039","ERGOTRON","SV43-6300-0","AO005468","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1399175-0038","AO400591-CRT","HSS-9800040","ERGOTRON","SV43-2570-0","AO400591","VIHA-CRG-Campbell River General Hospital-Main Building-3rd Floor"
"Island Health","1399175-0033","AO005467-CRT","HSS-9800041","ERGOTRON","SV43-2570-0","AO005467","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1357146-0020","AO800053-CRT","HSS-9800042","ERGOTRON","C50-3500-0","AO800053","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
"Island Health","1366798-0077","AO800133-CRT","HSS-9800043","ERGOTRON","C50-3500-0","AO800133","VIHA-CRG-Campbell River General Hospital-Main Building-2nd Floor"
