"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC024096","PC024096","","36VPQT3","VIHA-PHMHAS-Port Hardy Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Office (3rd from Entrance - Telehealth)","1","INC2247045","11/30/2029","NTT-Deskside Services-PortHardy-Local"
"LD027179","LD027179","HSS-8088029","39F4VZ3","VIHA-PAH-Port Alice Health Center-Main Building-1st Floor","Main Building","Social Work Office","1","VIHATRP20240624-037","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"PC031993","PC031993","HSS-8074319","39LTVP3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Trauma Room","1","VIHATRP20230509-053","08/31/2031","NTT-Deskside Services-PortHardy-Remote"
"PC026574","PC026574","HSS-8074290","39PTVP3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Bullpen (Against backwall - 3rd from breakroom)","1","VIHATRP20230509-028","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC076688","PC076688","HSS-1031566","39YKGC3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Room 9","","REQ0425561-RITM0446186-SCTASK0689904","02/28/2030","NTT-Deskside Services-PortHardy-Remote"
"LD057657","LD057657","HSS-1044647","3CCLTY3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Admin trailer-Hayley Mcconnell's office","1","REQ1143658-RITM1204126-SCTASK1924689","01/31/2032","NTT-Deskside Services-PortHardy-Remote"
"PC032002","PC032002","HSS-8058452","3CPKRH3","VIHA-CICHC-Cormorant Island Community Health Centre-Main Building-1st Floor","Main Building","DT1104","","VIHATRP20220502-028","07/31/2030","NTT-Deskside Services-PortHardy-Remote"
"PC021945","PC021945","HSS-8074288","3CPTVP3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Reception 2","1","VIHATRP20230509-026","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC100051","PC100051","HSS-1040786","3DCSVP3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main building","MOA desk","","REQ0793777-RITM0834034-SCTASK1360535","03/31/2031","NTT-Deskside Services-PortHardy-Remote"
"PC072501","PC072501","HSS-1042292","3DFQQT3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Security Office","1","REQ0841846-RITM0884429-SCTASK1516601","06/30/2031","NTT-Deskside Services-PortHardy-Remote"
"TD001705","TD001705","HSS-8074325","3DKTVP3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Mental Health Office Admin Trailer (Dietician)","1","VIHATRP20230509-057","08/31/2031","NTT-Deskside Services-PortHardy-Remote"
"LD030966","LD030966","HSS-8058350","3HXJRH3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Between Maintainance and Recycling","1","VIHATRP20220425-019","09/30/2030","NTT-Deskside Services-PortHardy-Staffed"
"LD039569","LD039569","HSS-8074262","3LZPQT3","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main Building","Nurses Office","1","VIHATRP20230509-007","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"LD091161","LD091161","HSS-1047636","3MHHTY3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Bullpen","1","REQ1420455-RITM1498454-SCTASK2412854","10/31/2032","NTT-Deskside Services-PortHardy-Local"
"LD066629","LD066629","HSS-8088015","3RK4VZ3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Admin Office","1","VIHATRP20240624-028","08/31/2032","NTT-Deskside Services-PortHardy-Local"
"LD066634","LD066634","HSS-8087994","3S84VZ3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Room 2","1","VIHATRP20240624-008","08/31/2032","NTT-Deskside Services-PortHardy-Remote"
"PC072642","PC072642","HSS-1042999","3TJTVP3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Nurses Station","1","REQ0954096-RITM1003428-SCTASK1653110","08/31/2031","NTT-Deskside Services-PortHardy-Staffed"
"LD035987","LD035987","HSS-8022301","3VDJGC3","VIHA-PMAPCC-Port McNeill A'ekakila'as Primary Care Centre-Main Building-1st Floor","Main Building","Room 5","1","VIHATRP20210614-016","09/30/2029","NTT-Deskside Services-PortHardy-Remote"
"PC035256","PC035256","HSS-8088042","3W84VZ3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Nurses Station (Right of Downtime)","1","VIHATRP20240624-045","08/31/2032","NTT-Deskside Services-PortHardy-Staffed"
"PC022059","PC022059","HSS-8074299","40LTVP3","VIHA-PHPCC-Port Hardy Primary Care Centre-Main Building-1st Floor","Main Building","Bullpen (Sidewall 2nd from Breakroom)","1","VIHATRP20230509-036","08/31/2031","NTT-Deskside Services-PortHardy-Local"
"PC031982","PC031982","HSS-8058328","422JRH3","VIHA-PHHC-Port Hardy Health Centre-Main Building-1st Floor","Main Building","Reception (1st from entrance)","","VIHATRP20220425-003","08/31/2030","NTT-Deskside Services-PortHardy-Local"
"LD059189","LD059189","HSS-1030099","42SKGC3","VIHA-PHH-Port Hardy Hospital-Main Building-1st Floor","Main Building","Indigenous Health-Dean Wilson","1","REQ0355817-RITM0372688-SCTASK0578677","10/31/2029","NTT-Deskside Services-PortHardy-Staffed"
"LD035388","LD035388","HSS-8090980","4395TY3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","WFH","1","VIHATRP20241007-092","11/30/2032","NTT-Deskside Services-PortHardy-Remote"
"LD062715","LD062715","HSS-1041995","449JRH3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Admin Trailer","Clinician's office","1","REQ0870174-RITM0914506-SCTASK1477902","06/30/2030","NTT-Deskside Services-PortHardy-Remote"
"LD086100","LD086100","HSS-1046581","44P5VZ3","VIHA-PMH-Port McNeill Hospital-Main Building-1st Floor","Main Building","Admin Trailer","1","REQ1306691-RITM1377994-SCTASK2227482","07/31/2032","NTT-Deskside Services-PortHardy-Remote"
