"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC050942","PC050942","HSS-8091159","6CX5VZ3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Ambassador","1","VIHATRP20241111","10/31/2032","NTT-Deskside Services-Nanaimo-Staffed"
"PC045932","PC045932","HSS-8071676","6D2SVP3","VIHA-CDT-Communicable Disease & Travel-Main Building-1st Floor","Main building","Reception #2","","VIHATRP20230130-090","04/30/2031","NTT-Deskside Services-Nanaimo-Local"
"PC046549","PC046549","HSS-8060246","6D7MVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","PC2039","","VIHATRP20220725-033","09/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD062559","LD062559","HSS-1040438","6DB60N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH - Lisa Nothling","B","REQ0807535-RITM0848435-SCTASK1342605","01/31/2031","NTT-Deskside Services-Nanaimo-Staffed"
"PC034406","PC034406","HSS-8083770","6DLKTY3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1168 - Radiography Room 3","1","VIHATRP20240219-055","04/30/2032","NTT-Deskside Services-Nanaimo-Staffed"
"PC028099","PC028099","HSS-8068134","6DP60N3","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-2nd Floor","Main Building ","203 - Outside Central area","","VIHATRP20221024-104","01/31/2031","NTT-Deskside Services-Nanaimo-Local"
"TD031399","TD031399","HSS-1027384","6DRHL93","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","202","2","REQ0267709-RITM0280264-SCTASK0428183","07/31/2029","NTT-Deskside Services-Nanaimo-Local"
"PC031921","PC031921","HSS-8026080","6F0LGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1128F","","VIHATRP20220103-024","04/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD080399","LD080399","HSS-1034193","6F0MKF3","VIHA-OHC-Oceanside Health Centre","Main Building","CR0305 - Not in Office 2 cabinet","B1","INC4477767","06/30/2030","NTT-Deskside Services-Nanaimo-Local"
"LD066498","LD066498","HSS-8088387","6F16VZ3","VIHA-TLLTC-Trillium Lodge-Main Building-1st Floor","Main Building","8","1st Floor","VIHATRP20240708-053","10/31/2032","NTT-Deskside Services-Nanaimo-Local"
"","PC023816","HSS-8067308","6F1NVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-6th Floor","Tower","Nurse's Station","","VIHATRP20221003-103","01/31/2031","NTT-Deskside Services-Nanaimo-Staffed"
"LD027235","LD027235","HSS-1040328","6F270N3","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","116","1","REQ0799524-RITM0840014-SCTASK1330399","01/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD027473","LD027473","HSS-8071639","6F2SVP3","VIHA-BCN-Bowen Center Nanaimo-Main Building-1st Floor","","False","","VIHATRP20230130-068","04/30/2031","NTT-Deskside Services-Nanaimo-Local"
"LD086310","LD086310","HSS-1047928","6F63VZ3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G077A (occ therapy area)","G","REQ1435650-RITM1514449-SCTASK2436200","11/30/2032","NTT-Deskside Services-Nanaimo-Staffed"
"PC061695","PC061695","HSS-8083734","6F66PW3","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-2nd Floor","Main Building","Right side front office","1","VIHATRP20240219-018","04/30/2032","NTT-Deskside Services-Nanaimo-Local"
"LD023181","LD023181","HSS-1039110","6FD60N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","G178b","G","REQ0751607-RITM0789685-SCTASK1247325","12/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD080821","LD080821","HSS-1042603","6FFQQT3","VIHA-BLMHAS-Brooks Landing Mental Health & Addictions Services","","","","REQ0940706-RITM0989262-SCTASK1572535","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD059544","LD059544","HSS-1974105","6FJKGC3","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building-2nd Floor","Main Building","203","2","DMND0003227","01/31/2030","NTT-Deskside Services-Nanaimo-Local"
"LD039915","LD039915","HSS-8069219","6FMMVF3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 227","2","VIHATRP20221128-027","01/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC031891","PC031891","HSS-8062592","6FSMVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","1120","","VIHATRP20220906-069","11/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD034924","LD034924","HSS-8072253","6FVSVP3","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","OHC240 - Desk 201","2","VIHATRP20230213-090","05/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD073182","LD073182","HSS-8062015","6FX60N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G078","G","VIHATRP20220822-036","10/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD040104","LD040104","HSS-8078225","6FXRQT3","VIHA-NHC-Nanaimo Health Centre-Main Building-2nd Floor","Main Building","GSS side","2","VIHATRP20230904-059","11/30/2031","NTT-Deskside Services-Nanaimo-Local"
"PC036071","PC036071","HSS-8057996","6FYKGC3","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Ground Floor","Ambulatory","G408 - Beside Reception","","VIHATRP20220404-055","07/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"PC047870","PC047870","HSS-8061992","6G1NVF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","Nurse's Station","B","VIHATRP20220822-010","10/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD048239","LD048239","HSS-8092913","6G2LG14","VIHA-NHC-Nanaimo Health Centre-Main Building-1st Floor","Main Building","WFH (Kelly Tanasychuk)","1st Floor","ISLHTRP20250407","06/30/2033","NTT-Deskside Services-Nanaimo-Local"
"LD066612","LD066612","HSS-8085361","6G3KTY3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main","B004 - WFH ","B","VIHATRP20240408-114","05/31/2032","NTT-Deskside Services-Nanaimo-Staffed"
"LD091767","LD091767","HSS-8072230","6G4TVP3","VIHA-NER-Nanaimo Estevan Road","Main Building","108","1","VIHATRP20230213-079","05/31/2031","NTT-Deskside Services-Nanaimo-Local"
"PC031565","PC031565","HSS-8062167","6G660N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G255","","VIHATRP20220929-058","11/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD032414","LD032414","HSS-8062546","6GB60N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","R1096","1","VIHATRP20220906-051","11/30/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD100441","LD100441","HSS-1042801","6GLTVP3","VIHA-NWR-Nanaimo Waddington Road-Main Building-2nd Floor","Main","WFH - Tracy Hogeweide","2","REQ0947727-RITM0996653-SCTASK1602527","08/31/2031","NTT-Deskside Services-Nanaimo-Local"
"LD037893","LD037893","HSS-8020178","6GM4X53","VIHA-PFP-Parksville Family Place-Main Building-1st Floor","Main Building","216","2","VIHATRP20210118-049","04/30/2029","NTT-Deskside Services-Nanaimo-Local"
"PC021695","PC021695","HSS-8062165","6GM60N3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Ground Floor","Main Building","G256 - Desk 4","","VIHATRP20220822-098","10/31/2030","NTT-Deskside Services-Nanaimo-Staffed"
"LD036699","LD036699","HSS-8084198","6GP5VZ3","VIHA-MDO-Metral Drive Offices-Main Building-3rd Floor","Main Building","370","3rd Floor","VIHATRP20240304-055","04/30/2032","NTT-Deskside Services-Nanaimo-Local"
