"City","Location","Building","Floor","Room","Department"
"","VIHA-NWPS-Nanaimo Wentworth & Prideaux Street-Main Building-2nd Floor","Nanaimo Estavan Finance","","1084 Mitzi McFarlane's office","CI/NI CYMH & Substance Use"
"","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care","Nanaimo General Hospital","","1085 - Reception","CI/NI Diabetes and Nutrition"
"","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building","Nanaimo Health Centre","","1089 - Lead Technologist","CI/NI Food Services Admin"
"","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care-Main Building-2nd Floor","NER","","109","CI/NI Nanaimo FMO"
"","VIHA-NWR-Nanaimo Waddington Road-Main Building","NHC","","109 - Diabetes Education Nurse","CI/NI West FMO"
"","VIHA-NWR-Nanaimo Waddington Road-Main Building-2nd Floor","NHC - Nanaimo Health Centre","","109 - Jenn & Melanie","CINI Food Servics Admin"
"","VIHA-NWTR-Nanaimo Wellington Road-Main Building-1st Floor","NHC ? 1665 Grant Avenue","","1090 - Accessions area","Clerical Support"
"","VIHA-NWTR-Nanaimo Wellington Road-Main Building-2nd Floor","North Tower","","1090 - General Office","Clin Serv Contract Admin"
"","VIHA-NWWSA-Nanaimo Wentworth Street Annex","NRGH","","1090 - Hematology General Office","Clinical App Mgmt-IHealth"
"","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex","NRGH Grounds Compound","","1092 - Hematology","Clinical Application Mgmt"
"","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex-1st Floor","NRGH Lower Ambulatory Care","","1093 - Office","Clinical Imp & Informatics"
"","VIHA-NWWSA-Nanaimo Wentworth Street Annex-Annex-Basement 1","NRGH Main","","1094 - Zohra Daw","Clinical Improve & Informatics"
"","VIHA-NWWS-Nanaimo Wentworth Street","NRGH MAIN","","1095 - Histopathology","Clinical Informatics"
"","VIHA-NWWS-Nanaimo Wentworth Street-Main Building","NRGH Perinatal","","1097 - Pathologist - Dr. Wessler","Clinical Information"
"","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-1st Floor","NRGH Sat Lab - 1599 Dufferin Street","","1098 - Pathologist","Clinical Information Support"
"","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-2nd Floor","NWRD","","1099 - Histology","Clinical Information Svrc"
"","VIHA-NWWS-Nanaimo Wentworth Street-Main Building-3rd Floor","Oceanside","","1099 - Histopathology","Clinical Ops NRGH Adm"
"","VIHA-NYFAS-Nanaimo Discovery Youth & Family Substance Use Services-Main Building-2nd Floor","Oceanside Health Centre","","11","Clinical Pharmacy"
"","VIHA-OHC-Oceanside Health Centre","Oceanside health centre","","110","Clinical Research"
"","VIHA-OHC-Oceanside Health Centre-Main Building","OHC","","110 - Activity Office","Clinical Systems"
"","VIHA-OHC-Oceanside Health Centre-Main Building-1st Floor","OHC Health Center","","110 - Primary user: Dr. Xavier Thompson","Clinical Transition Team"
"","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Public Health","","1100 - Pathologist","CLKS LearningDesign&Tech"
"","VIHA-PFP-Parksville Family Place","RCO","","1101 - Laboratory-Section Head","Code Brew"
"","VIHA-PFP-Parksville Family Place-Main Building","Red Zone","","1102","Colorectal Cancer Screenin"
"","VIHA-PFP-Parksville Family Place-Main Building-1st Floor","ridges Primary Care Clinic","","1103 - Grossing Rm","Comm Outreach Response"
"","VIHA-PFP-Parksville Family Place-Main Building-2nd Floor","Right side of duplex","","1103 - Grossing Room","Comm Ptnrship&Prim Care Strate"
"","VIHA-PQHU-Parksville/Qualicum Health Unit","Staffing Office","","1104 - Pathologist","Communicable Dis. Nursing"
"","VIHA-QBCC-Qualicum Beach Civic Center Restorative Health-Main Building","Suite #201 - 6551 Aulds Rd","","1105 - Transcription","Communicable Disease"
"","VIHA-QBCC-Qualicum Beach Civic Center Restorative Health-Main Building-1st Floor","Suite 203","","1106 - Pathologist","Communicable Disease #8-1599 Dufferin Cr"
"","VIHA-RCO-Regional Corporate Office","Tower","","1107 - Chemistry Tech Specialist - Back Room","Communicable Disease (Hospital Commons)"
"","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Trillium","","111","Communicable Disease Control"
