"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD033202","HSS-8077322","83MY4X3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C006","1","VIHATRP20230814-024","09/30/2027","05/22/2025","General Rounding","Home Care Nursing-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033203","HSS-8077334","D4GZ4X3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C110","1","VIHATRP20230814-036","09/30/2027","05/22/2025","General Rounding","Home Care Nursing-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033204","HSS-8077357","537Y4X3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C006","1","VIHATRP20230814-059","09/30/2027","05/22/2025","General Rounding","CV Geriatric Specialty Srv","NTT-Deskside Services-NorthIsland-Local"
"LD033316","HSS-8012626","PC0SFLY2","Comox","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","321","3","","08/31/2021","06/05/2025","General Rounding","Unknown","NTT-Deskside Services-NorthIsland-Local"
"LD033538","HSS-8072936","3FZFLN3","Comox","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","303","3","VIHATRP20230313-086","05/31/2027","06/05/2025","General Rounding","Unknown (Nicole Martin - WFH)","NTT-Deskside Services-NorthIsland-Local"
"LD033555","HSS-8077364","FDHZ4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 102","1","VIHATRP20230814-065","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033575","HSS-8066799","1BZDLN3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","WFH - WCollingewagner","0","VIHATRP20220926-009","01/31/2027","02/07/2024","Excluded"," ","NTT-Deskside Services-NorthIsland-Staffed"
"LD033684","HSS-8077342","9BX45X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Room 105","1","VIHATRP20230814-044","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033686","HSS-8089263","DY6VCW3","Courtenay","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","3","1","VIHATRP20240819-009","09/30/2028","04/16/2025","General Rounding","Public Health","NTT-Deskside Services-NorthIsland-Local"
"LD033687","HSS-8077355","JCHZ4X3","Courtenay","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building-1st Floor","Main Building","Loaner","1","VIHATRP20230814-057","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033688","HSS-8077350","25LZ4X3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C113","1","VIHATRP20230814-052","09/30/2027","05/22/2025","General Rounding","Home Care Nursing-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033689","HSS-8077324","2M205X3","Courtenay","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C006","1","VIHATRP20230814-026","09/30/2027","05/22/2025","General Rounding","CCD Admin Support-Comox","NTT-Deskside Services-NorthIsland-Local"
"LD033695","HSS-8079327","4R7QDY3","Courtenay","VIHA-NICYF-North Island Child, Youth & Family-Main Building-1st Floor","Main Building","13.5 (Audiologist)","1","VIHATRP20230916-010","11/30/2027","11/20/2025","General Rounding","Regional Audiology","NTT-Deskside Services-NorthIsland-Local"
"LD033741","HSS-8026914","DZQCBK3","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0620 (Meagan Sims WFH)","0","VIHATRP20220228-012","06/30/2026","02/07/2024","Excluded","Patient Quality","NTT-Deskside Services-NorthIsland-Staffed"
"LD033768","HSS-8098106","PF60F1J7","Courtenay","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","","0","ISLHTRP20260323-006","","","General Rounding","Materials Management","NTT-Deskside Services-NorthIsland-Staffed"
"LD033785","HSS-8087440","HVVQCW3","Courtenay","VIHA-CVH-Comox Valley Hospital","","WFH","","VIHATRP20240610-002","07/31/2028","","Excluded","","NTT-Deskside Services-NorthIsland-Staffed"
"LD033856","HSS-8085063","9GLXCW3","Comox","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","329","1st Floor","VIHATRP20240101-061","04/30/2028","01/09/2026","General Rounding","WFH - Ingelise Fraser","NTT-Deskside Services-NorthIsland-Local"
