City,Location,Building,Floor,Room,Department
,,,,116 (W57),Youth and Family Substance use Serviced
,,,,116 (W58),
,,,,116 (W59),
,,,,116 (W60),
,,,,116 (W61),
,,,,116 (W62),
,,,,116 (W63),
,,,,116 (W64),
,,,,116 (W65),
,,,,116 (W66),
,,,,116 (W67),
,,,,116 (W68),
,,,,117,
,,,,117 (Dr. Reception),
,,,,117 (Kellie Connelly),
,,,,117 (W69),
,,,,117 (W70),
,,,,117 (W71),
,,,,117 (W72),
,,,,117 (W73),
,,,,117 (W74),
,,,,117 (W75),
,,,,117 (W76),
,,,,117 (W77),
,,,,117 (W78) Jennifer Brown,
,,,,118,
,,,,118 (Admin Office),
,,,,118 (W28),
,,,,118 (W80),
,,,,118 (W81),
,,,,118 (W82),
,,,,118 (W83),
,,,,118 (W84),
,,,,119,
,,,,119 (Exan Room),
,,,,119 (Home & Community Care),
,,,,119 (W85),
,,,,119 (W86),
,,,,119 (W87),
,,,,119 (W88),
,,,,119 (W89),
,,,,119 (W90),
,,,,119B (Home & Community Care),
,,,,12,
,,,,120,
,,,,120 (Desk 1),
,,,,120 (Desk 2),
,,,,120 (Desk 3),
,,,,120 (Desk 4),
,,,,120 (Desk 5),
,,,,120 (W100),
,,,,120 (W101),
,,,,120 (W102),
,,,,120 (W103),
,,,,120 (W104),
,,,,120 (W91),
,,,,120 (W92),
,,,,120 (W93),
,,,,120 (W94),
,,,,120 (W95),
,,,,120 (W96),
,,,,120 (W97),
,,,,120 (W98),
,,,,120 (W99),
,,,,121,
,,,,121 (Desk 1),
,,,,121 (Desk 2),
,,,,121 (Desk 3),
,,,,121 (Desk 4),
,,,,121 (Desk 5),
,,,,122,
,,,,122 (Exam Room / Office),
,,,,122 (Home & Community Care),
,,,,123,
,,,,123 (LH Back),
,,,,123 (LH Front),
,,,,123 (RH Back),
,,,,123 (RH Front),
,,,,124 - Reception,
,,,,124 (Home & Community Care),
,,,,124A (Volunteer Office),
,,,,125,
,,,,125 (Home & Community Care),
,,,,125 (W28),
,,,,125 (W35),
,,,,126,
,,,,126 (Rounds - connected to TV on wall),
,,,,126 (Rounds),
,,,,126 (W09),
,,,,126 (W29),
,,,,127,
,,,,127 (W30),
,,,,127 (W31),
,,,,128,
,,,,128 (Medications),
,,,,128 (W32),
,,,,129,
,,,,129 (Cabinet in hall - HSS 1),
,,,,129 (Cabinet in Hall - HSS 2),
,,,,129 (Cabinet in Hall - HSS 3),
,,,,129 (Cabinet in Hall - HSS 4),
,,,,129 (Cabinet in Hall - HSS 5),
,,,,129 (W33) Erica McKendry,
,,,,129 (Waiting Room),
,,,,13 (.Lisa Horvath - Admin Lead),
,,,,13 (file cabinet),
,,,,130 (Laboratory),
,,,,131 - Floor for storage,
,,,,131 (Elyse Laughland) (Temporary in this room),
,,,,131 (W34) - Rhonda Soldera,
,,,,132 (Check in Records),
,,,,132 (W9) - Breakout Room,
,,,,133,
,,,,133 - Office,
,,,,133 - Xray room,
,,,,133 (Medical Imaging),
,,,,133 (W37),
,,,,133 (W38),
,,,,134,
,,,,134 (Medical Imaging),
,,,,134 (W39),
,,,,135,
