"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location","location.u_deskside_assignment_group"
"LD057606","HSS-8096654","PF5RK1DM","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","217 (W127) Geraldine Blair-Speirs","2","ISLHTRP20251201-013","01/31/2030","01/23/2026","General Rounding","Implement - Project Management CDHRP","NTT-Deskside Services-Cowichan-Local"
"LD057694","HSS-8097184","PF5WR027","Duncan","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","303 (Meeting Room)(SUIT Spare)","3","ISLHTRP20260119-023","02/28/2030","03/30/2026","General Rounding","SUIT - Substance Use Integrated Team","NTT-Deskside Services-Cowichan-Local"
"LD057954","HSS-8096661","PF5S2E8X","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","WFH - Jennifer Sirup","2","ISLHTRP20251201-020","01/31/2030","","Excluded","Cowichan Health & Care Plan","NTT-Deskside Services-Cowichan-Local"
"LD057985","HSS-8097173","PF5X31LT","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","257 (W118)","2","ISLHTRP20260119-012","03/31/2030","","General Rounding","Cowichan Hlth & Care Plan","NTT-Deskside Services-Cowichan-Local"
"LD058016","HSS-8094677","C7BP774","Duncan","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","301 (Director)","3","ISLHTRP20250728-047","07/31/2029","03/30/2026","General Rounding","SUIT - Substance Use Integrated Team","NTT-Deskside Services-Cowichan-Local"
"LD058022","HSS-1022278","61G2Q73","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1017 (OR Purchasing Office)","1","REQ0146216-RITM0152466-SCTASK0229220","03/31/2025","03/24/2026","General Rounding","MDRD","NTT-Deskside Services-Cowichan-Staffed"
"LD058048","HSS-8094676","DBTN774","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","303 (Meeting Room)","1","ISLHTRP20250728-046","07/31/2029","","General Rounding","SUIT - Substance Use Integrated Team","NTT-Deskside Services-Cowichan-Local"
"LD058061","HSS-1024302","125JQ73","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B39 (Stored)","1","REQ0167721-RITM0175072-SCTASK0263562","05/31/2025","03/31/2026","General Rounding","ACT Team","NTT-Deskside Services-Cowichan-Local"
"LD058093","HSS-1025018","5NVDP73","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2083 (Nikki Kokkinis)","2","REQ0174750-RITM0182531-SCTASK0270467","06/30/2025","04/10/2026","General Rounding","Administration","NTT-Deskside Services-Cowichan-Staffed"
"LD058171","HSS-1025014","2W9DP73","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","Trailer 1 (Admin Office) / 208","G","REQ0177812-RITM0185839-SCTASK0275640","06/30/2025","03/10/2026","General Rounding","Administration","NTT-Deskside Services-Cowichan-Staffed"
"LD058172","HSS-1025189","C601FB3","Duncan","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","ACT Team Area-","1","REQ0177811-RITM0185838-SCTASK0275650","08/31/2025","","General Rounding","Mental Health and Substance Abuse","NTT-Deskside Services-Cowichan-Local"
"LD058439","HSS-8094670","48KMR54","Duncan","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","209","2","ISLHTRP20250728-040","03/31/2029","03/24/2026","General Rounding","Cowichan Valley PCN","NTT-Deskside Services-Cowichan-Local"
"LD058440","HSS-8096186","PF58DHFA","Ladysmith","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","WFH","1","ISLHTRP20251013-019","09/30/2029","12/08/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Local"
"LD058697","HSS-8094672","94KMR54","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B32","1","ISLHTRP20250728-042","03/31/2029","03/31/2026","General Rounding","Region 3 Scheduling Duncan","NTT-Deskside Services-Cowichan-Local"
"LD058708","HSS-8094671","1X5MR54","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B50","1","ISLHTRP20250728-041","03/31/2029","01/02/2026","General Rounding","Region 3 Scheduling Duncan","NTT-Deskside Services-Cowichan-Local"
"LD058774","HSS-8095138","55ZP774","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","ISLHTRP20250825-023","10/31/2029","12/16/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Staffed"
"LD058910","HSS-8095873","GX9Q774","Salt Spring Island","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","202 - Office 5 (Section C)","1","ISLHTRP20250922-043","09/30/2029","03/19/2026","General Rounding","Profession Practice Team A","NTT-Deskside Services-Cowichan-Remote"
"LD058911","HSS-8095872","C9NQ774","Salt Spring Island","VIHA-SSMHSU-Salt Spring Mental Health Substance Use Services-Main Building-1st Floor","Lancer Building","Office 2","1","ISLHTRP20250922-042","09/30/2029","03/19/2026","General Rounding","Saltspring Island MHSU","NTT-Deskside Services-Cowichan-Remote"
"LD058925","HSS-8096168","JZMP774","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","ISLHTRP20251013-001","09/30/2029","12/16/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Staffed"
"LD058976","HSS-8096170","3JZN774","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","WFH","G","ISLHTRP20251013-003","09/30/2029","03/10/2026","Excluded","Workforce Optimization","NTT-Deskside Services-Cowichan-Staffed"
"LD058982","HSS-8098044","PF5WJA53","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building","Main Building","","1","ISLHTRP20260316-062","03/31/2030","","Excluded","COV Workforce Optimization","NTT-Deskside Services-Cowichan-Staffed"
"LD059020","HSS-1029076","CTXBBC3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1104 (OR Booking Office)","1","REQ0328196-RITM0343690-SCTASK0527823","11/30/2025","03/27/2026","General Rounding","OR Booking","NTT-Deskside Services-Cowichan-Staffed"
"LD059069","HSS-1029068","HWS48C3","Duncan","VIHA-MMHU-Margaret Moss Building-Main Building-1st Floor","Main Building","Roaming (L15)","1","REQ0334223-RITM0350014-SCTASK0539350","11/30/2025","02/06/2026","General Rounding","Public Health","NTT-Deskside Services-Cowichan-Local"
"LD059094","HSS-1029064","43638C3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4026 (Social Work)","4","REQ0338782-RITM0354735-SCTASK0544775","11/30/2025","04/14/2026","General Rounding","Social Work","NTT-Deskside Services-Cowichan-Staffed"
"LD059096","HSS-8097676","PF5X23F8","Duncan","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","209","2","ISLHTRP20260223-042","","03/24/2026","General Rounding","Social Work","NTT-Deskside Services-Cowichan-Local"
"LD059097","HSS-8096172","J5BP774","Duncan","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","209","2","ISLHTRP20251013-005","09/30/2029","03/24/2026","General Rounding","Infection Control - Admin","NTT-Deskside Services-Cowichan-Local"
"LD059274","HSS-1030400","80LW8D3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1016 (Coordinator of Site Operations)","1","REQ0372726-RITM0390421-SCTASK0604506","01/31/2026","03/24/2026","General Rounding","Administration","NTT-Deskside Services-Cowichan-Staffed"
"LD059323","HSS-1030532","B0PZ5G3","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4026 (Social Work)","4","REQ0381328-RITM0399388-SCTASK0621073","01/31/2026","04/14/2026","General Rounding","Social Work","NTT-Deskside Services-Cowichan-Staffed"
"LD059324","HSS-8096645","PF5S2EA1","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","? Surgical Services","1","ISLHTRP20251201-004","01/31/2030","02/13/2026","General Rounding","Surgical Services","NTT-Deskside Services-Cowichan-Staffed"
"LD059344","HSS-8097683","PF5WY1WJ","Lake Cowichan","VIHA-LCHU-Lake Cowichan Health Unit-Main Building-1st Floor","Main Building","","1","ISLHTRP20260223-049","","","General Rounding","Public Health","NTT-Deskside Services-Cowichan-Local"
"LD059389","HSS-8096642","PF5S2FYB","Duncan","VIHA-CDH-Cowichan District Hospital","Main Building","WFH - Home Office (VPN)","1","ISLHTRP20251201-001","01/31/2030","12/16/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Staffed"
"LD059403","HSS-1973545","DDFM7G3","Duncan","VIHA-CDH-Cowichan District Hospital","Main Building","CDH - IMIT Loaner (Latitude 7420)","4","DMND0003213","01/31/2026","","Excluded","IM/IT","NTT-Deskside Services-Cowichan-Staffed"
"LD059456","HSS-8097678","PF5WR0R6","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","","1","ISLHTRP20260223-044","","","Excluded","","NTT-Deskside Services-Cowichan-Local"
"LD059473","HSS-1973615","H7216G3","Duncan","VIHA-CDH-Cowichan District Hospital","Main Building","CDH - IMIT Loaner (Latitude 7420)","4","DMND0003213","01/31/2026","11/02/2023","Excluded","IM/IT","NTT-Deskside Services-Cowichan-Staffed"
"LD059495","HSS-8096667","PF5RNY42","Duncan","VIHA-MMHU-Margaret Moss Building","Main","WFH","1","ISLHTRP20251201-026","01/31/2030","","Excluded","","NTT-Deskside Services-Cowichan-Local"
"LD059513","HSS-8097784","PF5WMT80","Salt Spring Island","VIHA-SSHU-Salt Spring Island Health Unit","Main Building","","1","ISLHTRP20260302-086","03/31/2030","","Excluded","","NTT-Deskside Services-Cowichan-Remote"
"LD059528","HSS-8096643","PF5RX28B","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","ISLHTRP20251201-002","01/31/2030","12/16/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Staffed"
"LD059543","HSS-1973685","4C237G3","Chemainus","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","M17 (Swing Office)","1","DMND0003213","01/31/2026","04/15/2026","General Rounding","Administration","NTT-Deskside Services-Cowichan-Local"
"LD059557","HSS-8096663","PF5RNCPN","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","ISLHTRP20251201-022","01/31/2030","12/16/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Staffed"
"LD059581","HSS-8097166","PF5X9DWJ","Chemainus","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","M18 (Education Room)","1","ISLHTRP20260119-005","02/28/2030","04/15/2026","General Rounding","Clinical Education","NTT-Deskside Services-Cowichan-Local"
"LD059582","HSS-8097694","PF5WJDFK","Chemainus","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","M18 (Education Room)","1","ISLHTRP20260223-060","","04/15/2026","General Rounding","Clinical Education","NTT-Deskside Services-Cowichan-Local"
"LD059583","HSS-8097695","PF5WNEGC","Chemainus","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","M18 (Education Room)","1","ISLHTRP20260223-061","","04/15/2026","General Rounding","Clinical Education","NTT-Deskside Services-Cowichan-Local"
"LD059605","HSS-1973747","5CJ27G3","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","212","2","DMND0003213","01/31/2026","02/14/2024","Excluded","CDHRP","NTT-Deskside Services-Cowichan-Local"
"LD059606","HSS-1973748","3LM37G3","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","212","2","DMND0003213","01/31/2026","02/14/2024","Excluded","CDHRP","NTT-Deskside Services-Cowichan-Local"
"LD059607","HSS-8096298","PF5SCSRM","Duncan","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","WFH - Home Office (VPN)","1","ISLHTRP20251027-018","12/31/2029","12/16/2025","Excluded","Work From Home","NTT-Deskside Services-Cowichan-Staffed"
"LD059704","HSS-8096657","PF5RJJY4","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","B33","1","ISLHTRP20251201-016","01/31/2030","03/31/2026","General Rounding","Staffing","NTT-Deskside Services-Cowichan-Local"
"LD059705","HSS-8096666","PF5RMSV7","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","D Wing","B44","1","ISLHTRP20251201-025","01/31/2030","","General Rounding","ACT Team","NTT-Deskside Services-Cowichan-Local"
"LD059724","HSS-1030936","72VM5G3","Duncan","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","WFH -","1","REQ0419381-RITM0439781-SCTASK0682020","02/28/2026","04/08/2024","Excluded","(TBD)","NTT-Deskside Services-Cowichan-Local"
