"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"LD091830","LD091830","HSS-8092079","JR7NG14","VIHA-CDH-Cowichan District Hospital","Main Building","Advanced EHR Management","1","VIHATRP20250127","01/31/2033","NTT-Deskside Services-Cowichan-Staffed"
"LD060309","LD060309","HSS-1042171","JRKTVP3","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","Main Building","","1","REQ0884482-REQ0884482-SCTASK1497818","06/30/2031","NTT-Deskside Services-Cowichan-Local"
"PC032186","PC032186","HSS-8083210","JSC6PW3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","21","1","VIHATRP20240205-010","03/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD034272","LD034272","HSS-8065792","JSM60N3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","133 (W37)","1","VIHATRP20220815-156","11/30/2030","NTT-Deskside Services-Cowichan-Local"
"PC075742","PC075742","HSS-8094054","JSQ4W14","VIHA-CUPCC-Cowichan Urgent Primary Care Centre-Main Building-2nd Floor","Main Building","205","2","ISLHTRP20250623","07/31/2030","NTT-Deskside Services-Cowichan-Local"
"LD066855","LD066855","HSS-1033547","JSQHRH3","VIHA-LCHC-Ladysmith Community Health Centre-Main Building-1st Floor","Main Building","Family Practice - Erin room","1","REQ0532767-RITM0559101-SCTASK0872136","05/31/2030","NTT-Deskside Services-Cowichan-Local"
"LD066288","LD066288","HSS-8078971","JSX5PW3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","101 (W42)","1","VIHATRP20231003-010","12/31/2031","NTT-Deskside Services-Cowichan-Local"
"PC040576","PC040576","HSS-8080386","JTC6PW3","VIHA-DMHC-Duncan Mental Health Centre-Main Building-1st Floor","Main Building","Reception","1","VIHATRP20231113-011","01/31/2032","NTT-Deskside Services-Cowichan-Local"
"","LD027220","HSS-1043331","JTJPQT3","VIHA-LMH-Lady Minto Hospital-Lionel Beach Annex-2nd Floor","Annex Building","221()","2","REQ1008034-RITM1060422-SCTASK1699747","09/30/2031","NTT-Deskside Services-Cowichan-Remote"
"LD060477","LD060477","HSS-8065561","JVB60N3","VIHA-CDH-Cowichan District Hospital-Main Building-2nd Floor","Main Building","2084 (Roshni)","2","VIHATRP20220808-170","11/30/2030","NTT-Deskside Services-Cowichan-Staffed"
"PC076073","PC076073","HSS-8089468","JVHHTY3","VIHA-DWRC-Duncan Wellness and Recovery Centre-Main Building-1st Floor","Main Building","310 (Outreach Team)","3","VIHATRP20240902-049","10/31/2032","NTT-Deskside Services-Cowichan-Local"
"LD028048","LD028048","HSS-8077296","JVJPQT3","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-2nd Floor","Main Building","256 (W113)","2","VIHATRP20230807-060","10/31/2031","NTT-Deskside Services-Cowichan-Local"
"","JVM4X53","HSS-1024235","JVM4X53","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4026 (Social Work)","4","REQ0168019-RITM0175386-SCTASK0258912","04/30/2029","NTT-Deskside Services-Cowichan-Staffed"
"LD080826","LD080826","HSS-1044093","JVP6PW3","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","Main Building","3060 (CSO Office)","3","REQ1098436-RITM1156165-SCTASK1849784","12/31/2031","NTT-Deskside Services-Cowichan-Staffed"
"LD030734","LD030734","HSS-8023689","JVPHL93","VIHA-DNDR-Duncan Norcross & Drinkwater Road-Main Building-1st Floor","Main Building","127 (W30)","1","VIHATRP20210816-054","02/28/2030","NTT-Deskside Services-Cowichan-Local"
"PC030835","PC030835","HSS-8027496","JVQHRH3","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1045 (Hallway)","","VIHATRP20220314-051","06/30/2030","NTT-Deskside Services-Cowichan-Staffed"
