"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"","LD021229","HSS-8073038","GWZSVP3","VIHA-SJC-St. Joseph's Campus-Main Building-3rd Floor","Main Building","320","3","VIHATRP20230313-083","06/30/2031","NTT-Deskside Services-NorthIsland-Local"
"PC024418","PC024418","HSS-8069106","GYH50N3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2650","","VIHATRP20221121-093","02/28/2031","NTT-Deskside Services-NorthIsland-Staffed"
"PC024305","PC024305","HSS-8025571","GYRKGC3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0704","0","VIHATRP20211122-009","02/28/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD021254","LD021254","HSS-8085090","GYT5VZ3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1725 (Amanda DeForge Working from home)","1st Floor","VIHATRP20240101-002","05/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"LD027125","LD027125","HSS-8069049","GZ3MVF3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2163","2","VIHATRP20221121-052","02/28/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD025945","LD025945","HSS-1031832","H0WKGC3","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","17","1","REQ0455860-RITM0477921-SCTASK0745837","02/28/2030","NTT-Deskside Services-NorthIsland-Local"
"LD069131","LD069131","HSS-8095101","H12MG14","VIHA-CVH-Comox Valley Hospital","WFM","WFM","WFM","REQ2003321-RITM2115888-SCTASK3402682","09/30/2029","NTT-Deskside Services-NorthIsland-Staffed"
"LD022285","LD022285","HSS-1030727","H1JKGC3","VIHA-CHU-Coastal Health Unit-Main Building-1st Floor","Main Building","Front Admin Area - desk 4","1st Floor","PO 158127","","NTT-Deskside Services-NorthIsland-Local"
"PC024285X","PC024285X","HSS-8083918","H1MJTY3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0331","0","VIHATRP20240226-022","04/30/2032","NTT-Deskside Services-NorthIsland-Staffed"
"PC048736","PC048736","HSS-8025574","H2JKGC3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2107","2nd","VIHATRP20211122-012","02/28/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD035567","LD035567","HSS-8075053","H2JTVP3","VIHA-CHU-Coastal Health Unit-Main Building-2nd Floor","Main Building","","2","VIHATRP20230605-073","08/31/2031","NTT-Deskside Services-NorthIsland-Local"
"PC024471","PC024471","HSS-8067009","H2S60N3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2911","","VIHATRP20220926-086","12/31/2030","NTT-Deskside Services-NorthIsland-Staffed"
"PC023767","PC023767","HSS-8027639","H39JRH3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0706","","VIHATRP20220321-036","06/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"","MONITOR P2423D","HSS-8075048","H3L5VZ3","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4912","4","INC3135796","08/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD086467","LD086467","HSS-1048476","H3X4TY3","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","WFH - Carmen Brown","1","REQ1528578-RITM1612611-SCTASK2589941","12/31/2032","NTT-Deskside Services-NorthIsland-Local"
"LD066652","LD066652","HSS-8077431","H3ZPQT3","VIHA-CVHCC-Comox Valley Home & Community Care-Main Building","Main Building","Palliative Office Room 103","","VIHATRP20230814-030","10/31/2031","NTT-Deskside Services-NorthIsland-Local"
"LD065929","LD065929","HSS-8085194","H4D5VZ3","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","210","2","VIHATRP20240101-054","05/31/2032","NTT-Deskside Services-NorthIsland-Local"
"PC026351","PC026351","HSS-8085688","H4H4TY3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0627","0","INC3136793","06/30/2032","NTT-Deskside Services-NorthIsland-Staffed"
"","LD024355","","H4LMTJ004687","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1411","1","","","NTT-Deskside Services-NorthIsland-Staffed"
"PC026215","PC026215","HSS-8075029","H4LTVP3","VIHA-CVH-Comox Valley Hospital-Main Building-3rd Floor","Main Building","CV3809","3","VIHATRP20230605-049","08/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD086201","LD086201","HSS-1039788","H4YMVF3","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","218","2","REQ0780631-RITM0820125-SCTASK1293270","10/31/2030","NTT-Deskside Services-NorthIsland-Local"
"","LD033785","","H4ZM619614","VIHA-SJC-St. Joseph's Campus","Nanaimo General Hospital","210","B","","","NTT-Deskside Services-NorthIsland-Local"
"PC100143","PC100143","HSS-1044006","H557PW3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2722","2","REQ1078373-RITM1134876-SCTASK1822104","11/30/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD086467","LD086467","HSS-1048475","H5M4TY3","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","WFH - Carmen Brown","1","REQ1528578-RITM1612611-SCTASK2589941","12/31/2032","NTT-Deskside Services-NorthIsland-Local"
"LD065712","LD065712","HSS-8069031","H5S60N3","VIHA-CHU-Coastal Health Unit-Main Building-1st Floor","Main Building","5","1","VIHATRP20221121-042","03/31/2031","NTT-Deskside Services-NorthIsland-Local"
"LD101819","LD101819","HSS-1045992","H635VZ3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2402","2","REQ1245232-RITM1312291-SCTASK2129631","05/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"PC024324","PC024324","HSS-8091915","H63NG14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1123","1","VIHATRP20250113","01/31/2033","NTT-Deskside Services-NorthIsland-Staffed"
"LD101193","LD101193","HSS-1044855","H79JTY3","VIHA-CVNC-Comox Valley Nursing Centre-Main Building-1st Floor","Main Building","Charting Room","1","REQ1158018-RITM1219317-SCTASK1958467","01/31/2032","NTT-Deskside Services-NorthIsland-Local"
"PC030733","PC030733","HSS-8087545","H7F4VZ3","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1708","1","VIHATRP20240610-008","08/31/2032","NTT-Deskside Services-NorthIsland-Staffed"
"PC024301","PC024301","HSS-8075045","H7KTVP3","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4210","4","VIHATRP20230605-061","08/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD091700","LD091700","HSS-1049726","H7X2W14","VIHA-CVH-Comox Valley Hospital-Main Building-1st Floor","Main Building","CV1858","1","REQ1608610-RITM1697325-SCTASK2727818","04/30/2033","NTT-Deskside Services-NorthIsland-Staffed"
"LD023199","LD023199","HSS-8077498","H82SVP3","VIHA-CVH-Comox Valley Hospital-Main Building","Main Building","CSO Office","1","VIHATRP20230814-074","10/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD038233","LD038233","HSS-8077457","H88PQT3","VIHA-CCA-Courtenay Cliffe Avenue","Main Building","C112","1","VIHATRP20230814-047","10/31/2031","NTT-Deskside Services-NorthIsland-Local"
"PC026229","PC026229","HSS-8075028","H8KTVP3","VIHA-CVH-Comox Valley Hospital-Main Building-4th Floor","Main Building","CV4731","4","VIHATRP20230605-048","08/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"PC026384","PC026384","HSS-8026208","H8LLKF3","VIHA-CVH-Comox Valley Hospital-Main Building-2nd Floor","Main Building","CV2618","","VIHATRP20220110-032","04/30/2030","NTT-Deskside Services-NorthIsland-Staffed"
"LD090028","LD090028","HSS-1038474","H8ZWDM3","VIHA-CVCHC-Comox Valley Community Health Centre-Main Building-1st Floor","Main Building","WFH - Maura Garrett","1","REQ0716400-RITM0752717-SCTASK1184212","12/31/2030","NTT-Deskside Services-NorthIsland-Local"
"LD106994","LD106994","HSS-8069898","H9160N3","VIHA-CVH-Comox Valley Hospital-Main Building-0th Floor","Main Building","CV0325 - Lindsey James WFH","0","REQ2101045-RITM2219667-SCTASK3554321","01/31/2031","NTT-Deskside Services-NorthIsland-Staffed"
"LD044497","LD044497","HSS-8089321","H9CHTY3","VIHA-CCA-Courtenay Cliffe Avenue-Main Building-1st Floor","Main Building","Liz (back of Reception)","1st Floor","VIHATRP20240819-005","10/31/2032","NTT-Deskside Services-NorthIsland-Local"
"LD085294","LD085294","HSS-1032270","H9MLKF3","VIHA-SJC-St. Joseph's Campus-Main Building-2nd Floor","Main Building","204","2","REQ0456494-RITM0478579-SCTASK0782430","03/31/2030","NTT-Deskside Services-NorthIsland-Local"
"LD100176","LD100176","HSS-8068975","H9SMVF3","VIHA-CCRHC-Courtenay Cumberland Road Health Unit-Main Building-1st Floor","Main Building","156","1","VIHATRP20221121-007","02/28/2031","NTT-Deskside Services-NorthIsland-Local"
"PC039529","PC039529","HSS-8072718","H9VSVP3","VIHA-CVMHAS-Comox Valley Mental Health & Addiction Services-Main Building-1st Floor","Main Building","13","","VIHATRP20230227-088","05/31/2031","NTT-Deskside Services-NorthIsland-Local"
