"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"","PC033766","HSS-8012396-M1","VTB15471","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","Laboratory Clean Room","","","08/31/2021","NTT-Deskside Services-WestCoast-Remote"
"","PC033760","HSS-8012383-M1","VTB15477","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","Laboratory Clean Room","","","08/31/2021","NTT-Deskside Services-WestCoast-Remote"
"","LD031695","HSS-8012381-M1","VTB15484","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","","Physio ","","","08/31/2021","NTT-Deskside Services-WestCoast-Remote"
"","LD026179","HSS-1014561-M1","VTB16263","VIHA-TGH-Tofino General Hospital-Main Building-Basement 1","Main Building","","0","","07/31/2021","NTT-Deskside Services-WestCoast-Remote"
"","LD034601","HSS-8013425-M1","VTB31994","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building-1st Floor","Main Building","Front Meeting Room","1","","11/30/2021","NTT-Deskside Services-WestCoast-Local"
"","LD027212","HSS-1956401-M2","VTH56263","VIHA-PAMHAS-Port Alberni Mental Health & Addiction Services-Main Building","","","","","02/28/2022","NTT-Deskside Services-WestCoast-Local"
"","LD027217","HSS-1956465-M2","VTH60775","VIHA-WCGH-West Coast General Hospital-Main Building-2nd Floor","Main Building","WC2104","2","","02/28/2022","NTT-Deskside Services-WestCoast-Staffed"
"","LD027219","HSS-1956468-M1","VTH60997","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building","Main","21","","","02/28/2022","NTT-Deskside Services-WestCoast-Local"
"","LD027222","HSS-1956454-M2","VTH61019","VIHA-WRC-Westhaven-Main Building-1st Floor","Main Building","WFH?","1","","02/28/2022","NTT-Deskside Services-WestCoast-Staffed"
"","LD027222","HSS-1956454-M1","VTH61103","VIHA-WRC-Westhaven-Main Building-1st Floor","Main Building","WFH?","1","","02/28/2022","NTT-Deskside Services-WestCoast-Staffed"
"","LD030571","HSS-8014748-M1","VTH61233","VIHA-PAHCCS-Port Alberni Home & Community Care Services-Main Building-1st Floor","Main Building","22","1","","02/28/2022","NTT-Deskside Services-WestCoast-Local"
