"City","Location","Building","Floor","Room","Department"
"","","","","WC2330 - Meeting Room B",""
"","","","","WC2330b",""
"","","","","WC2335 - Meeting Room A",""
"","","","","WC2340 - Meeting Room C",""
"","","","","WC2343",""
"","","","","WC2343 - Foundation Office",""
"","","","","WC2345",""
"","","","","WC2351",""
"","","","","WC2352",""
"","","","","WC2354 - Medical Records",""
"","","","","WC2403",""
"","","","","WC2412",""
"","","","","WC2422",""
"","","","","WC2422 (Rehab 1)",""
"","","","","WC2422 (Rehab 6)",""
"","","","","WC2426",""
"","","","","WC2430",""
"","","","","WC2430 (Rehab 2)",""
"","","","","WC2430 (Rehab 3)",""
"","","","","WC2430 (Rehab 7)",""
"","","","","WC2431",""
"","","","","WC2431 - User: Arden Schiller",""
"","","","","WC2431 (Staff office) - (Rehab 4)",""
"","","","","WC2434",""
"","","","","WC2440",""
"","","","","WC2441",""
"","","","","WC2447",""
"","","","","WC2450",""
"","","","","WC2450 - Lab Reception desk",""
"","","","","WC2454",""
"","","","","WC2455",""
"","","","","WC2455 - Regional Lab office",""
"","","","","WC2460-2470 = at back bench of lab",""
"","","","","WC2462",""
"","","","","WC2462 - Core Lab",""
"","","","","WC2465 at Hematology teaching microscope-back area",""
"","","","","WC2467",""
"","","","","WC2491",""
"","","","","WC2491 - Sharon",""
"","","","","WC2491 Pharmacy",""
"","","","","WC2495",""
"","","","","WC2503",""
"","","","","WC2503 - Pharmacy",""
"","","","","WC2504",""
"","","","","WC2504 - pharmacy",""
"","","","","WC2504 - Pharmacy",""
"","","","","WC2514",""
"","","","","WC2514 (Reports Room A)",""
"","","","","WC2514 (SMART TV)",""
"","","","","WC2517 -Dictation",""
"","","","","WC2518",""
"","","","","WC2532",""
"","","","","WC2601",""
"","","","","WC2601 - Nursing Station Psychiatry",""
"","","","","WC2601 Psychiatry Nursing  Office",""
"","","","","WC2602",""
"","","","","WC2718",""
"","","","","WC2900 - Nurse's Station",""
"","","","","WC2904 (Wall Mount)",""
"","","","","WC2905",""
"","","","","WC2905 - and for remote work, assigned to a user.",""
"","","","","WC2905 - Hallway",""
"","","","","WC2905 - Nursery",""
"","","","","WC2905 - Nurses Station",""
"","","","","WC2905 - Patient Room",""
"","","","","WC2905 - room 6",""
"","","","","WC2905 - room by entrance to LDR",""
"","","","","WC2905 Hallway - Nursing station",""
"","","","","WC2908 - wall mount in cubby",""
"","","","","WC2908 (Wall Mount)",""
"","","","","WC2911",""
"","","","","WCAdmin",""
"","","","","WCAMB - left hand side of desk",""
"","","","","WCAmb - Nurses' station",""
"","","","","WCAmb - Storage room",""
"","","","","WCAmbo",""
"","","","","WCAmbulatory Care",""
"","","","","WCAmbulatory Care Unit (TRP)",""
"","","","","WCAmbulatory Care unit (TRP)",""
"","","","","WCER",""
"","","","","WCER - 2012 - Triage Desk by door",""
"","","","","WCER - 2012 - Triage Registration by window",""
"","","","","WCER - Emergency department beside filing cabinet",""
"","","","","WCER - Emergency Department MAIN area/ AKA Dr.'s C",""
"","","","","WCER - Emergency Department on filing cabinet near",""
"","","","","WCER - Emergency nursing desk",""
"","","","","WCER - Expansion",""
"","","","","WCER - expansion - desk behind Triage desk",""
"","","","","WCER - expansion triage desk",""
"","","","","WCER - WCGH Emergency Department - near medicine c",""
"","","","","WCICU - 2165 (TRP)",""
"","","","","WCICU - 2166",""
"","","","","WCICU - 2166 - Physician On-Call Room",""
"","","","","WCLab",""
"","","","","WCMed - Hallway - Near room 2712",""
"","","","","WCMed Surg  - B1 Wing",""
"","","","","WCMedical Imaging - 2288 - XRay room",""
"","","","","WCMedical Imaging - Main reception",""
"","","","","WCMedical Imaging - Reception",""
"","","","","WCMedical Imaging - XRay",""
"","","","","WCMedical Imaging - XRay far end of room by printe",""
"","","","","WCMedical Imaging -Xray-techs",""
"","","","","WCMedSur - Nursing Station - A Side Desk",""
"","","","","WCMedSurg - 2718",""
"","","","","WCMedSurg - A Side Desk",""
"","","","","WCMedSurg - A2 wing desk",""
"","","","","WCMedSurg - By LDR windows",""
"","","","","WCMedSurg - Hallway - WC2703 Wing A",""
"","","","","WCMedSurg - Hallway B",""
"","","","","WCMedSurg - Hallway Wing B1",""
"","","","","WCMedSurg - Nurse's desk",""
"","","","","WCMedSurg - Nursing station",""
"","","","","WCMedSurg - Nursing Station  (TRP)",""
"","","","","WCMedSurg - Nursing Station - A Side Desk",""
"","","","","WCMedSurg - Nursing Station - B Side Desk",""
"","","","","WCMedSurg - Nursing Station - B Side Desk (TRP)",""
"","","","","WCMedSurg - Wing B",""
"","","","","WCMedSurg Wing B",""
"","","","","WCOR - 2110 - Surgical Desk",""
"","","","","WCOR - 2163 ENDOSCOPY",""
"","","","","WCOR - Surgical Desk",""
"","","","","WCOR #1",""
"","","","","WCOR #2",""
"","","","","WC-Pharmacy",""
"","","","","WCPhysio - Main Physio Office",""
"","","","","WCRoom 2270",""
"","","","","WCStores Main Room",""
"","","","","well women's room",""
"","","","","WFH",""
"","","","","WFH - DASW Educator",""
"","","","","WFH - Jasmine Meikle - WC2318",""
"","","","","WFH - WC Tech Office",""
"","","","","WFH - WC1520a - Remote work from home bundle as per SCTASK1685187",""
"","","","","WFH 152A - Jasmine Meikle",""
"","","","","WH1004",""
"","","","","WH1016",""
"","","","","WH1020",""
"","","","","WH1023",""
"","","","","WH1025 - Volunteer office / CNE",""
"","","","","WH1025- Volunteer office / CNE Laptop",""
"","","","","WH1028 - Social worker room",""
"","","","","WHNursing station",""
