"SlNo","Asset Tag"
"64573","HSS-8071513"
"169134","HSS-1036752"
"126138","HSS-1043959"
"287835","HSS-8098622"
"237843","HSS-8088703"
"80244","HSS-8079871"
"124315","HSS-8079869"
"98516","HSS-1040153"
"280971","HSS-8096796"
"312530","HSS-8099760"
"8026","HSS-8067086"
"75886","HSS-8062347"
"124842","HSS-8079828"
"58690","HSS-8060957"
"229713","HSS-1045832"
"231079","HSS-8083700"
"273463","HSS-8095632"
"96713","HSS-1038908"
"288185",""
"257112","HSS-1111524"
"249861","HSS-8091140"
"249828","HSS-8091134"
"247761","HSS-8090020"
"244252","HSS-8089002"
"245316","HSS-8089031"
"243947","HSS-8089019"
"254253","HSS-1110079"
"249830","HSS-8091142"
"249821","HSS-8091242"
"254229","HSS-1110080"
"272229","HSS-1111330"
"237716","HSS-8087014"
"100956","HSS-1038395"
"256376","HSS-1110756"
"249597","HSS-8091765"
"15153","HSS-1038585"
"33740","HSS-1038584"
"118637","HSS-8071484"
"227391","HSS-8083671"
"31173","HSS-8072758"
"257212","HSS-8095038"
"288535","HSS-8099570"
"245536","HSS-8089140"
"35894","HSS-8070109"
"271056","HSS-8097055"
"46722","HSS-8058160"
"236662","HSS-8088463"
"159659","HSS-8058154"
"204485","HSS-8058161"
"41041","HSS-8058153"
"161180","HSS-8058146"
"57599","HSS-8058172"
"112474","HSS-8058142"
"130374","HSS-8058171"
"52438","HSS-8058147"
"137724","HSS-8058173"
"43012","HSS-8058176"
"132567","HSS-8058144"
"187687","HSS-8058174"
"226666","HSS-8084316"
"682","HSS-8083352"
"235419","HSS-8088847"
"25933","HSS-8081088"
"61046","HSS-8068490"
"113042","HSS-8070089"
"177187","HSS-8069526"
"148427","HSS-8072760"
"249884","HSS-8091272"
"120102","HSS-1992436"
"59307","HSS-1992440"
"184561","HSS-1992441"
"147996","HSS-1992443"
"86053","HSS-8074631"
"147013","HSS-8081173"
"69643","HSS-8076102"
"193901","HSS-8060259"
"249570","HSS-8091682"
"114223","HSS-8076123"
"33840","HSS-8076107"
"29993","HSS-8060280"
"102272","HSS-8060283"
"254241","HSS-1110430"
"201108","HSS-8060282"
"197473","HSS-8074633"
"118306","HSS-8074632"
"21690","HSS-8074457"
