"name","asset_tag","serial_number","location","location.city","u_building","u_room","u_floor","po_number","u_scheduled_retirement","operational_status","u_last_rounded_date","comments","u_location_comments","u_device_rounding","u_department_location","location.u_deskside_assignment_group","u_category","model_id","short_description"
"LD046148","HSS-8091063","B3LHVW3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","116 Storage Room","2nd Floor","VIHATRP20241104-021","12/31/2028","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7440 V7",""
"LD090446","HSS-1045373","GK289W3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","117","1","REQ1222739-RITM1288136-SCTASK2065305","02/29/2028","Operational","03/17/2026","","","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","DELL LATITUDE 7440 V2",""
"LD090447","HSS-1045371","7BR79W3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","118","1","REQ1222744-RITM1288141-SCTASK2065323","02/29/2028","Operational","03/17/2026","","","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","DELL LATITUDE 7440 V2",""
"PC056451","HSS-8079379","9DJVPR3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Main Building","118","2nd Floor","VIHATRP20230916-059","06/30/2027","Operational","06/11/2026","","","General Rounding","Public Health Nursing-Re2","NTT-Deskside Services-CampbellRiver-Local","Desktop","Dell OPTIPLEX 7000 MICRO V1",""
"LD085813","HSS-1045367","CV1B9W3","VIHA-CRG-Campbell River General Hospital-Corporate-Whitehouse-1st Floor","Campbell River","Whitehouse","119","1","REQ1222745-RITM1288142-SCTASK2065212","02/29/2028","Operational","03/17/2026","","","General Rounding","Whitehouse","NTT-Deskside Services-CampbellRiver-Staffed","Laptop","DELL LATITUDE 7440 V5",""
"LD065648","HSS-8066601","1P2LLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","119 - Clinic Room 2","2","VIHATRP20220919-049","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD065676","HSS-8066596","7FL3NN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","120 - Clinic Room 3","2","VIHATRP20220919-044","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD065603","HSS-8066581","HSVHLN3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Tyee Plaza","121 - Clinic Room 4","2","VIHATRP20220919-029","01/31/2027","Operational","06/11/2026","","","General Rounding","Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"PC044157","HSS-8016919","MJ07YJ2K","VIHA-CRMHAS-Campbell River Mental Health & Addiction Services-Main Building-2nd Floor","Campbell River","Main Building","13","2","","07/31/2022","Operational","07/24/2024","","","General Rounding","Mental Health and Addiction Services","NTT-Deskside Services-CampbellRiver-Local","Desktop","LENOVO THINKCENTRE M920Q V1",""
"LD030441","HSS-8065013","8CF4NN3","VIHA-CRMHAS-Campbell River Mental Health & Addiction Services-Main Building-2nd Floor","Campbell River","Main Building","13","2","VIHATRP20220718-050","12/31/2026","Operational","07/24/2024","","","General Rounding","Mental Health and Addiction Services","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7420 V3",""
"LD041024","HSS-8091061","1PFJVW3","VIHA-CRPH-Campbell River Public Health-Main Building-2nd Floor","Campbell River","Main Building","132","2nd Floor","VIHATRP20241104-019","12/31/2028","Operational","06/11/2026","","","General Rounding","COVID Public Health","NTT-Deskside Services-CampbellRiver-Local","Laptop","Dell LATITUDE 7440 V7","LENOVO THNKPD T480s i5-8350 1.7GHZ 6MB 1"
