"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","location.u_deskside_assignment_group"
"PC034829","PC034829","HSS-8079725","CYC6PW3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2857","2","VIHATRP20231023-052","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD065162LER","LD065162LER","HSS-1030455","CYCKGC3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N217B","2","REQ0366385-RITM0383782-SCTASK0591493","11/30/2029","NTT-Deskside Services-VictoriaGen-Staffed"
"LD067550","LD067550","HSS-1045820","CYGKTY3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S200","2","REQ1244592-RITM1311618-SCTASK2107924","05/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"LD035795","LD035795","HSS-8079737","CYT6PW3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main building","3100A","3","VIHATRP20231023-060","12/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD085838","LD085838","HSS-8066197","CZ3MVF3","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","North tower","N736 D","7","VIHATRP20220829-143","12/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"PC037581","PC037581","HSS-8072383","CZ6SVP3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","3702","","VIHATRP20230221-016","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC046399","PC046399","HSS-8072009","CZDSVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main Building","2107","2","VIHATRP20230206-116","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD1000456","LD1000456","HSS-8023904","CZHKGC3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","unknown","","VIHATRP20210823-067","11/30/2029","NTT-Deskside Services-VictoriaGen-Staffed"
"PC031697","PC031697","HSS-8072389","D00TVP3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","3739","","VIHATRP20230221-020","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC035215","PC035215","HSS-8071428","D07SVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N265 Genetics","","VIHATRP20230123-111","04/30/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC039112","PC039112","HSS-8067842","D0K60N3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main building","3739","","VIHATRP20221017-109","01/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD020244","LD020244","HSS-8069714","D0S60N3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S219","2","VIHATRP20221212-066","01/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC051476","PC051476","HSS-8071960","D0YRVP3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","Main building","2570 adjacent","","VIHATRP20230206-089","04/30/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD020244","LD020244","HSS-8069715","D1H60N3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","South tower","S219","2","VIHATRP20221212-066","01/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"LD066219","LD066219","HSS-8075465","D1MPQT3","VIHA-EWHU-Esquimalt/Westshore Health Unit-Main Building-1st Floor","Main building","NO DATA","1","VIHATRP20230619-011","08/31/2031","NTT-Deskside Services-VictoriaGen-Local"
"PC038883","PC038883","HSS-8061346","D1RLVF3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N285A","2","VIHATRP20220808-229","10/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD073660","LD073660","HSS-1044342","D1Y6PW3","VIHA-VADR-Victoria Allandale Road-Main Building","EMP","119","1","REQ1117965-RITM1176597-SCTASK1890914","12/31/2031","NTT-Deskside Services-VictoriaGen-Local"
"PC023551","PC023551","HSS-8026005","D20LGC3","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-4th Floor","Main Building","unknown","4","VIHATRP20211227-020","04/30/2030","NTT-Deskside Services-VictoriaGen-Local"
"LD031609","LD031609","HSS-8058110","D2BJRH3","VIHA-VGH-Victoria General Hospital-Main Building-4th Floor","North tower","N452","4","VIHATRP20220411-037","07/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD029729","LD029729","HSS-8080917","D2GLTY3","VIHA-VGH-Victoria General Hospital-Main Building-1st Floor","Main Building","room: 1603","1st Floor","VIHATRP20231127-035","01/31/2032","NTT-Deskside Services-VictoriaGen-Staffed"
"PC040074","PC040074","HSS-8072442","D2JSVP3","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","South tower","S7B Main Nursing Station","","VIHATRP20230221-059","05/31/2031","NTT-Deskside Services-VictoriaGen-Staffed"
"PC065978","PC065978","HSS-1976395","D3JMKF3","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","Main Building","3210","3","DMND0003391","03/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
"LD030893","LD030893","HSS-8058547","D3SJRH3","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","North tower","N347","2","VIHATRP20220509-029","08/31/2030","NTT-Deskside Services-VictoriaGen-Staffed"
